iter	Logloss
0	0.6802807424
1	0.6673180613
2	0.6556833865
3	0.6447031278
4	0.6353944905
5	0.621674815
6	0.6090037664
7	0.6014686587
8	0.5948086898
9	0.5863101641
10	0.5763481068
11	0.5713959814
12	0.5664106749
13	0.5601266945
14	0.5541876851
15	0.5474526118
16	0.5414993736
17	0.5360306657
18	0.5302920917
19	0.5253713201
20	0.5213836269
21	0.5167079248
22	0.5129431792
23	0.5089943849
24	0.5042392641
25	0.4998767065
26	0.4971084578
27	0.4925152142
28	0.4898716396
29	0.4866858403
30	0.4829459802
31	0.480115634
32	0.4777701193
33	0.4754031683
34	0.471922731
35	0.4690521748
36	0.4663384351
37	0.4634865258
38	0.4608189526
39	0.4583891893
40	0.4556966544
41	0.4530199263
42	0.4506611543
43	0.4483205972
44	0.4451260959
45	0.4430417505
46	0.4412964186
47	0.4390154962
48	0.4363887553
49	0.4341729886
50	0.4329495003
51	0.4303989197
52	0.4289335641
53	0.4274485542
54	0.4257430299
55	0.4242800865
56	0.4223702986
57	0.4210932567
58	0.418545279
59	0.4171559285
60	0.4157190061
61	0.4139937743
62	0.4123696069
63	0.4113397167
64	0.4098951311
65	0.4084952023
66	0.4069488692
67	0.4059005837
68	0.4047713238
69	0.4032389457
70	0.4020000255
71	0.4001073021
72	0.399113375
73	0.3978757273
74	0.3965867138
75	0.3959320371
76	0.3948666325
77	0.3934410251
78	0.3922348146
79	0.3908861842
80	0.3887759269
81	0.3880275167
82	0.3873136716
83	0.3860750595
84	0.3851453078
85	0.3836920804
86	0.3829331433
87	0.3815673859
88	0.3802645787
89	0.3794043772
90	0.3778230141
91	0.3768147094
92	0.3761175955
93	0.3749755178
94	0.373688661
95	0.3729318737
96	0.3719867213
97	0.3711093683
98	0.3701964515
99	0.3691332347
100	0.3679333921
101	0.3673210187
102	0.3664716256
103	0.3656146955
104	0.3645983536
105	0.3637437918
106	0.3632413006
107	0.3620340347
108	0.3611284296
109	0.3603663147
110	0.3594022183
111	0.358501919
112	0.3577627572
113	0.356845836
114	0.3557775993
115	0.3546594767
116	0.3531887729
117	0.3522698104
118	0.3513726781
119	0.3503759397
120	0.3498897465
121	0.3493182606
122	0.3484659758
123	0.3477578927
124	0.3467564408
125	0.3459883547
126	0.3453455935
127	0.3446009072
128	0.3439183303
129	0.3428877324
130	0.342333788
131	0.3417368419
