iter	Passed	Remaining
0	96	96494
1	101	50830
2	107	35566
3	112	28003
4	117	23432
5	122	20347
6	128	18199
7	133	16566
8	138	15304
9	144	14307
10	150	13487
11	155	12803
12	161	12240
13	166	11728
14	172	11295
15	178	10953
16	183	10620
17	189	10321
18	195	10088
19	200	9837
20	206	9622
21	212	9424
22	217	9234
23	222	9064
24	228	8911
25	233	8762
26	239	8625
27	244	8502
28	250	8389
29	256	8277
30	261	8173
31	267	8078
32	272	7995
33	278	7907
34	283	7827
35	289	7748
36	294	7676
37	300	7607
38	306	7541
39	311	7477
40	317	7418
41	322	7366
42	328	7315
43	334	7258
44	339	7210
45	345	7164
46	350	7112
47	356	7075
48	361	7025
49	367	6980
50	373	6949
51	379	6912
52	384	6868
53	390	6837
54	395	6796
55	400	6759
56	407	6736
57	412	6701
58	418	6671
59	424	6646
60	429	6616
61	435	6590
62	441	6563
63	446	6533
64	454	6533
65	459	6506
66	465	6480
67	471	6458
68	476	6434
69	482	6409
70	488	6391
71	494	6369
72	499	6347
73	505	6324
74	511	6303
75	516	6284
76	522	6263
77	528	6241
78	533	6221
79	539	6200
80	544	6177
81	550	6161
82	555	6141
83	561	6121
84	566	6102
85	572	6081
86	577	6062
87	583	6046
88	589	6031
89	594	6011
90	600	5994
91	605	5975
92	610	5955
93	616	5939
94	621	5921
95	627	5906
96	633	5893
97	638	5875
98	643	5859
99	649	5842
100	654	5827
101	659	5809
102	665	5794
103	671	5782
104	676	5769
105	682	5757
106	687	5741
107	693	5727
108	699	5714
109	704	5698
110	709	5682
111	715	5673
112	720	5659
113	726	5643
114	731	5628
115	736	5615
116	742	5602
117	749	5603
118	755	5596
119	762	5588
120	768	5579
121	773	5565
122	778	5553
123	784	5538
124	789	5525
125	794	5513
126	799	5498
127	805	5484
128	810	5470
129	815	5458
130	820	5446
131	826	5434
132	832	5427
133	838	5417
134	844	5409
135	850	5401
136	855	5391
137	861	5381
138	866	5370
139	872	5358
140	877	5348
141	883	5337
142	888	5326
143	894	5316
144	899	5304
145	904	5293
146	910	5284
147	915	5272
148	921	5261
149	927	5254
150	932	5244
151	938	5233
152	944	5226
153	949	5216
154	954	5205
155	960	5198
156	966	5187
157	971	5177
158	977	5170
159	983	5162
160	988	5152
161	994	5144
162	999	5134
163	1005	5125
164	1011	5116
165	1016	5106
166	1022	5099
167	1028	5093
168	1034	5084
169	1039	5076
170	1045	5067
171	1050	5057
172	1055	5047
173	1061	5038
174	1066	5027
175	1071	5017
176	1077	5008
177	1082	4996
178	1087	4987
179	1092	4978
180	1097	4967
181	1103	4958
182	1108	4950
183	1114	4941
184	1119	4931
185	1124	4921
186	1129	4911
187	1135	4903
188	1141	4896
189	1146	4885
190	1151	4876
191	1156	4866
192	1161	4856
193	1166	4848
194	1172	4839
195	1177	4831
196	1183	4823
197	1188	4815
198	1194	4806
199	1199	4798
200	1205	4790
201	1210	4781
202	1215	4772
203	1220	4764
204	1226	4755
205	1231	4746
206	1236	4736
207	1242	4729
208	1247	4720
209	1252	4711
210	1257	4702
211	1262	4693
212	1268	4685
213	1274	4679
214	1279	4671
215	1284	4663
216	1290	4655
217	1295	4645
218	1300	4637
219	1305	4629
220	1310	4620
221	1316	4612
222	1321	4603
223	1326	4595
224	1331	4586
225	1337	4579
226	1342	4570
227	1347	4562
228	1353	4555
229	1358	4546
230	1363	4538
231	1368	4530
232	1373	4521
233	1378	4513
234	1384	4505
235	1389	4497
236	1394	4490
237	1400	4484
238	1405	4476
239	1411	4469
240	1416	4461
241	1421	4453
242	1426	4445
243	1432	4437
244	1437	4429
245	1445	4429
246	1450	4422
247	1455	4414
248	1461	4407
249	1466	4399
250	1471	4392
251	1478	4387
252	1483	4379
253	1488	4371
254	1493	4364
255	1499	4357
256	1504	4350
257	1510	4343
258	1515	4335
259	1520	4328
260	1526	4320
261	1531	4313
262	1536	4305
263	1541	4297
264	1546	4289
265	1551	4281
266	1557	4274
267	1562	4267
268	1567	4260
269	1573	4253
270	1578	4247
271	1584	4239
272	1589	4232
273	1594	4224
274	1599	4217
275	1604	4209
276	1610	4202
277	1615	4195
278	1620	4187
279	1625	4181
280	1631	4173
281	1636	4166
282	1641	4159
283	1647	4152
284	1652	4145
285	1658	4139
286	1663	4131
287	1668	4124
288	1673	4117
289	1678	4110
290	1683	4102
291	1689	4095
292	1694	4088
293	1699	4080
294	1704	4073
295	1709	4066
296	1714	4059
297	1720	4052
298	1725	4044
299	1730	4037
300	1735	4029
301	1740	4022
302	1745	4015
303	1750	4008
304	1755	4001
305	1761	3994
306	1766	3987
307	1771	3979
308	1776	3972
309	1781	3965
310	1786	3958
311	1792	3952
312	1797	3945
313	1802	3938
